"Property Identification Number","Address","Zip Code","Managing Organization","Owership Status","Building","Zoning","Ward","Community Area","Date Property Was Added","Deed Status","Date Property Was Purchased","Date Property  Was Sold","Date of  Last Update","Event","AIS Category","EDR Complete"
"16-10-416-023-0000","212 N KEYSTONE AVE","60624","DPD - Real Estate","Owned by City","-","RT-4","28","WEST GARFIELD PARK","12/12/2018","Verified","03/13/2018","-","12/13/2021","Study Area","-","N"
"25-28-101-033-0000","11934 S UNION AVE","-","DOH","Sold","-","RS-3","34","WEST PULLMAN","01/23/2019","Verified","05/07/1984","12/06/2019","11/29/2021","-","-","N"
"20-15-404-006-0000","6000 S ST LAWRENCE AVE","60637","None","Owned by City","-","RM-5","20","WOODLAWN","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-15-401-025-0000","6042 S VERNON AVE","60637","-","Owned by City","-","RM-5","20","WOODLAWN","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-18-221-017-0000","5741 S HERMITAGE AVE","60636","None","Owned by City","-","RS-3","15","WEST ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-18-200-012-0000","5529 S DAMEN AVE","60636","None","Owned by City","-","B1-1","15","WEST ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-17-424-030-0000","6240 S MAY ST","60621","-","Owned by City","-","RS-3","16","ENGLEWOOD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-03-110-025-0000","4048 S CALUMET AVE","-","Obsolete PIN","Sold","-","RM-5","3","GRAND BOULEVARD","04/02/2019","Partially Verified","-","-","11/12/2021","-","-","N"
"20-03-425-029-0000","608 E 47TH ST","60653","None","Owned by City","-","B1-1","4","GRAND BOULEVARD","04/02/2019","Verified","04/01/1969","-","11/02/2021","Signal","-","N"
"20-03-422-023-0000","4644 S VINCENNES AVE","60653","None","Owned by City","-","RM-5","3","GRAND BOULEVARD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-03-414-030-0000","4510 S VINCENNES AVE","60653","-","Owned by City","-","RM-5","03","GRAND BOULEVARD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-03-405-017-0000","4343 S LANGLEY AVE","60653","-","Owned by City","-","RT-4","04","GRAND BOULEVARD","04/02/2019","Partially Verified","-","-","11/02/2021","Signal","-","N"
"20-03-320-018-0000","4620 S INDIANA AVE","60653","-","Owned by City","-","RM-5","03","GRAND BOULEVARD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-03-320-016-0000","4610 S INDIANA AVE","60653","-","Owned by City","-","RM-5","03","GRAND BOULEVARD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-04-443-034-0000","123 W 46TH PL","60609","-","Owned by City","-","M1-2","03","FULLER PARK","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-04-443-025-0000","148 W SWANN ST","60609","-","Owned by City","-","RS-3","03","FULLER PARK","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
